7zip 26.01-1
alacritty 0.17.0-1
amd-ucode 20260519-1
appmenu-gtk-module 25.04-3
aurorae 6.7.0-1
base 3-3
base-devel 1-2
bash-completion 2.17.0-3
bat 0.26.1-2
bluedevil 1:6.7.0-1
bluez-utils 5.86-6
breeze 6.7.0-1
breeze-gtk 6.7.0-1
breeze-plymouth 6.7.0-1
btop 1.4.7-1
cmake 4.3.4-1
cups 2:2.4.19-1
dbeaver 26.1.0-1
dhcpcd 10.3.2-1
discover 6.7.0-1
docker 1:29.5.2-1
dolphin 26.04.2-1
drkonqi 6.7.0-1
efibootmgr 18-4
evince 1:48.4-1
ex-vi-compat 2-1
fd 10.4.2-2
file-roller 44.6-2
firefox 152.0.1-1
flatpak-kcm 6.7.0-1
fuse2 2.9.9-5
git 2.54.0-1
github-cli 2.95.0-1
glad 2.0.8-3
glfw 1:3.4-1
grub 2:2.14-1
gutenprint 5.3.5-1
gvim 9.2.0670-1
htop 3.5.1-1
ibus 1.5.34-1
inetutils 2.8-1
iptables 1:1.8.13-1
jdk-openjdk 26.0.1.u8-1
kactivitymanagerd 6.7.0-1
kde-cli-tools 6.7.0-1
kde-gtk-config 6.7.0-1
kdecoration 6.7.0-1
kdeplasma-addons 6.7.0-1
kgamma 6.7.0-1
kglobalacceld 6.7.0-1
kinfocenter 6.7.0-1
kmenuedit 6.7.0-1
konsole 26.04.2-1
kooha 2.3.2-1
kpipewire 6.7.0-1
krdp 6.7.0-1
kscreen 6.7.0-1
kscreenlocker 6.7.0-1
ksshaskpass 6.7.0-1
ksystemstats 6.7.0-1
kubectl 1.36.2-1
kvantum 1.1.8-1
kwallet-pam 6.7.0-1
kwayland 6.7.0-1
kwin 6.7.0-3
kwin-x11 6.7.0-1
kwrited 6.7.0-1
layer-shell-qt 6.7.0-1
libchewing 0.12.0-1
libkscreen 6.7.0-1
libksysguard 6.7.0-1
libpinyin 2.10.3-1
libplasma 6.7.0-1
libreoffice-fresh 26.2.4-2
linux 7.0.12.arch1-1
linux-firmware 20260519-1
m17n-db 1.8.12-1
meld 3.24.0-1
milou 6.7.0-1
minikube 1.38.1-2
mpv 1:0.41.0-3
mtr 0.96-1
mupdf 1.27.2-2
nano 9.0-1
ncdu 2.9.2-1
neovim 0.12.3-1
net-tools 2.10-3
network-manager-applet 1.36.0-2
networkmanager 1.56.1-1
nodejs 26.3.1-1
npm 11.16.0-1
ocean-sound-theme 6.7.0-1
okular 26.04.2-1
oxygen 6.7.0-1
oxygen-sounds 6.7.0-1
pacman-contrib 1.13.1-1
plasma-activities 6.7.0-1
plasma-activities-stats 6.7.0-1
plasma-browser-integration 6.7.0-1
plasma-desktop 6.7.0-1
plasma-disks 6.7.0-1
plasma-firewall 6.7.0-1
plasma-integration 6.7.0-1
plasma-nm 6.7.0-1
plasma-pa 6.7.0-1
plasma-sdk 6.7.0-1
plasma-systemmonitor 6.7.0-1
plasma-thunderbolt 6.7.0-1
plasma-vault 6.7.0-1
plasma-welcome 6.7.0-1
plasma-workspace 6.7.0-1
plasma-workspace-wallpapers 6.7.0-1
plasma5support 6.7.0-1
plymouth-kcm 6.7.0-1
polkit-kde-agent 6.7.0-1
postgresql 18.4-1
powerdevil 6.7.0-1
print-manager 1:6.7.0-1
python-pip 26.1.2-1
qqc2-breeze-style 6.7.0-1
qt5-quickcontrols 5.15.19-1
